article_id,alternate_id,title,abstract,url,doi,language,year,page,is_published,alts,authors,journal,tags,publisher
11,0006MLKO6T74Y07T,Symplectic tori in rational elliptic surfaces,"Let E(1)_p denote the rational elliptic surface with a single multiple fiber f_p of multiplicity p. We construct an infinite family of homologous non-isotopic symplectic tori representing the primitive class [f_p] in E(1)_p when p>1. As a consequence, we get infinitely many non-isotopic symplectic tori in the fiber class of the rational elliptic surface E(1) (complex projective plane blown-up at nine branch points of a generic pencil of cubic curves). We also show how these tori can be non-isotopically and symplectically embedded in many other symplectic 4-manifolds.",http://arxiv.org/abs/math/0308276,10.1007/s00208-005-0724-5,[],2003,679-691,1,,"Tolga Etg,B. Doug Park",Mathematische Annalen,"Geometric Topology,Manifolds,Symplectic Geometry",Springer Science + Business Media
12,000796ORFK7SHMUX,Oct-2 DNA binding transcription factor: functional consequences of phosphorylation and glycosylation,"<p>Phosphorylation and <italic>O</italic>-GlcNAc modification often induce conformational changes and allow the protein to specifically interact with other proteins. Interplay of phosphorylation and <italic>O</italic>-GlcNAc modification at the same conserved site may result in the protein undergoing functional switches. We describe that at conserved Ser/Thr residues of human Oct-2, alternative phosphorylation and <italic>O</italic>-GlcNAc modification (Yin Yang sites) can be predicted by the YinOYang1.2 method. We propose here that alternative phosphorylation and <italic>O</italic>-GlcNAc modification at Ser191 in the N-terminal region, Ser271 and 274 in the linker region of two POU sub-domains and Thr301 and Ser323 in the POUh subdomain are involved in the differential binding behavior of Oct-2 to the octamer DNA motif. This implies that phosphorylation or <italic>O</italic>-GlcNAc modification of the same amino acid may result in a different binding capacity of the modified protein. In the C-terminal domain, Ser371, 389 and 394 are additional Yin Yang sites that could be involved in the modulation of Oct-2 binding properties.</p>",http://www.ncbi.nlm.nih.gov/pmc/articles/pmc1326018/,10.1093/nar/gkj401,english,2006,175-184,1,,Ishtiaq Ahmad,Nucleic Acids Research,,Oxford University Press
13,000837GI48JQPCVK,Heating and Dynamics of Two Flare Loop Systems Observed by AIA and EIS,"We investigate heating and evolution of flare loops in a C 4.7 two-ribbon flare on 2011 February 13. From SDO/AIA imaging observations, we can identify two sets of loops. Hinode/EIS spectroscopic observations reveal blueshifts at the feet of both sets of loops. The evolution and dynamics of the two sets are quite different. The first set of loops exhibits blueshifts for about 25 minutes followed by redshifts, while the second set shows stronger blueshifts, which are maintained for about one hour. The UV 1600 observation by AIA also shows that the feet of the second set of loops brighten twice. These suggest that continuous heating may be present in the second set of loops. We use spatially resolved UV light curves to infer heating rates in the few tens of individual loops comprising the two loop systems. With these heating rates, we then compute plasma evolution in these loops with the ""enthalpy-based thermal evolution of loops"" (EBTEL) model. The results show that, for the first set of loops, the synthetic EUV light curves from the model compare favorably with the observed light curves in six AIA channels and eight EIS spectral lines, and the computed mean enthalpy flow velocities also agree with the Doppler shift measurements by EIS. For the second set of loops modeled with twice-heating, there are some discrepancies between modeled and observed EUV light curves in low-temperature bands, and the model does not fully produce the prolonged blueshift signatures as observed. We discuss possible causes for the discrepancies.",http://arxiv.org/abs/1312.5056,None,[],2013,0,0,,"Y. Li,J. Qiu,M. D. Ding",None,Solar and Stellar Astrophysics,None
14,000923OQ2BVVOCXK,PHYTOCHEMICAL SCREENING AND DIURETIC ACTIVITY OF ALLIUM SATIVUM STEROIDAL AND TRITERPENOID SAPONIN FRACTION,"Allium sativum L. (Liliacea) is a perennial bulb with a tall, erect flowering stem. The bulb of the plant has been used in many parts of the world as a stimulant, carminative, antiseptic, expectorant, anthelmintic and diuretic. This study has been planned to assess the diuretic activity of fresh garlic bulb extract targeting the steroidal and triterpenoidal saponin content. The rats were randomly divided into 4 groups of 5 animal each as vehicle control (2 % tragacanth suspension), standard drug frusemide (20 mg/kg, p. o), and n-butanol extract (10 mg/kg and 20 mg/kg, p. o) treated. Urine was collected in a graduated cylinder and its volume was measured for next 5 hr. Na+, K+ and Cl- concentrations were measured. Phytochemical analysis of A. sativum n-butanol fraction showed presence of steroids, triterpenoidal saponins and carbohydrates. At 20 mg/kg dose onset of diuresis and total volume of urine formed was significantly (P<0.01-0.05) higher. Fifth hour urine volume at 20 mg/kg dose was 9.3 ml as compared to 5.5 ml of control. Extract at 20 mg/kg dose produced 24.57% increase in Na+ excretion against 132.65% increase by frusemide when compared to control signifying natriuretic and aquaretic response. The study confirmed the ethnopharmacological and Ayurvedic use of A. sativum as a diuretic agent.","http://www.ijpsr.com/V3I9/61%20Vol.%203%20(9),%20Sept.%202012,IJPSR-1611,Paper%2061.pdf",None,english,0,0,1,,Dr Papiya Bigoniya et al,IJSPR : International Journal of Pharmaceutical Sciences & Research,"Aquaretic,Natriuretic,Steroidal saponin,Triterpenoidal saponin,ium sativum",Society of Pharmaceutical Sciences and Research
15,000A66GPGQSDED1Z,Nonstandard approach to gravity for the dark sector of the Universe,"We summarize the present state of research on the darkon fuid as a model for the dark sector of the Universe. Nonrelativistic massless particles are introduced as a realization of the Galilei group in an enlarged phase space. The additional degrees of freedom allow for a nonstandard, minimal coupling to gravity respecting Einstein's equivalence principle. Extended to a self-gravitating fluid the Poisson equation for the gravitational potential contains a dynamically generated effective gravitational mass density of either sign. The equations of motion (EOMs) contain no free parameters and are invariant w. r.t. Milne gauge transformations. Fixing the gauge eliminates the unphysical degrees of freedom. The resulting Lagrangian possesses no free particle limit. The particles it describes, darkons, exist only as fluid particles of a self-gravitating fluid. This darkon fluid realizes the zero-mass Galilean algebra extended by dilations with dynamical exponent z = 5/3. We reduce the EOMs to Friedmann-like equations, derive conserved quantities and a unique Hamiltonian dynamics by implementing dilation symmetry. By the Casimir of the Poisson-bracket (PB)-algebra we foliate the phase space and construct a Lagrangian in reduced phase space. We solve the Friedmann-like equations with the transition redshift and the value of the Casimir as integration constants. We obtain a deceleration phase for the early Universe and an acceleration phase for the late Universe in agreement with observations. Steady state equations in the spherically symmetric case may model a galactic halo. Numerical solutions of a nonlinear diff?erential equation for the gravitational potential lead to predictions for the dark matter (DM) part of the rotation curves (RCs) of galaxies in qualitative agreement with observational data. We also present a general covariant generalization of the model.",http://arxiv.org/abs/1301.4486,None,[],2013,0,0,,"P. C. Stichel,W. J. Zakrzewski",None,"Cosmology and Nongalactic Astrophysics,General Relativity and Quantum Cosmology,High Energy Physics - Theory",None
16,000A9FDEYNJAT7LK,"An Enzyme-Linked Immunosorbent Assay for Sampling Blood Plasma Insulin Concentrations in Largemouth Bass, Micropterus salmoides","Insulin assays could be a valuable tool in assessing carbohydrate utilization in fish. Therefore, we conducted procedures to validate a non-radioisotopic Enzyme-Linked Immunosorbent Assay (ELISA) for detection of plasma insulin concentrations in Largemouth Bass (LMB), Micropterus salmoides. Wild caught LMB were subjected to oral glucose stimulation or fasted for 2 d. Farm-raised, pellet-trained bass were fed a commercial diet containing approximately 25% soluble carbohydrates. All three groups of fish were then bled and plasma was used for validation of the assay. A solid phase two-site enzyme immunoassay in which two monoclonal antibodies are bound to separate antigens on the insulin molecule was conducted using the Food and Drug Administrations Center for Veterinary Medicine validation of analytical procedures methodology. The results from this assay validation study indicate that an ELISA insulin kit could be used for experimental detection of blood plasma insulin concentrations in LMB. The linearity, precision and reproducibility of the data were acceptable. However, the accuracy is unproven as no ""gold standard"" for LMB insulin exists. This ELISA method would be most useful for the detection of insulin, general increases or decreases in insulin (insulin response) and general comparative trends in insulin concentration in LMB and possibly other fish.",http://docsdrive.com/pdfs/medwelljournals/javaa/2006/1008-1013.pdf,None,english,0,0,1,,"R. T. Lochmann,D. T. Sink",Journal of Animal and Veterinary Advances,"ELISA,bass,enzyme-linked immunosorbent assay,insulin,validation",Medwell Online
17,000ADXH3K64V346W,Anomalous magnetic phase diagram in low-carrier two-band systems and possible application to CeOs4Sb12,"Magnetic properties under the external field are investigated in low-carrier two-band systems, which may explain the nontrivial phase boundary found in temperature vs. magnetic field diagram discovered in some materials, such as filled-skutterudite compound CeOs$_{4}$Sb$_{12}$. Analysis is made both for the periodic Anderson model with the small-dispersive $f$ band and the simplified two parabolic band model in the vicinity of the Fermi level. The magnetic susceptibilities are calculated by using the random phase approximation. It is shown that the maximum value of the magnetic susceptibility perpendicular to the external field is enhanced and yields the anomalous phase boundary. By applying the magnetic field, the phase boundary shifts to higher temperature region in the insulating state with a small band gap. On the other hand, the similar phase boundary also appears in the semi-metallic states, in which the structure of the density of states in the vicinity of the Fermi level and the finite temperature effect are essential.",http://arxiv.org/abs/cond-mat/0702587,10.1103/physrevb.75.165102,[],2007,0,1,,"Yoshiki Imai,Tetsuro Saso",Physical Review B,Strongly Correlated Electrons,American Physical Society (APS)
18,000AWQD7MYWYLR6K,Proximate and Phytochemical Composition of Moringa oleifera Leaves at Three Stages of Maturation,"The aim of the study is to determine the proximate and anti-nutrient composition of dried leaves of Moringa oleifera harvested at different stages of the plants maturity. The leaves were harvested at three period of time viz: 10th (early stage), 15th (Mid stage) and 20th (late stage) week after pruning. The result of the proximate analysis revealed that the early stage has the highest carbohydrate content (55.14%). Mid stage recorded the highest moisture (6.3%) while the late stage has highest protein content (28.08%), crude fiber (10.11%), ash (9.25%), fat (2.5) and pH (6.27). The Phytochemicals detected in both aqueous and methanolic extracts of each of the different stage of leaves maturation were the same except for tannin which was present in aqueous extract but was not detected in methanolic extracts. The detected antinutrients are alkaloids, tannins, phenolics, saponins, flavonoids, steroids while phylobatanin and tripertenes were not. All these results indicate that the leaves harvested at the late stage had a higher percentage of imbedded nutrients than others, it was therefore concluded that harvesting at that stage is recommended. The presence of some phytochemicals like saponins and flavonoids explained the medicinal action of the plant encountered in its therapeutic uses.",http://maxwellsci.com/jp/abstract.php?jid=AJFST&no=130&abs=03,None,english,0,0,1,,"E. I. Bamishaiye,F. F. Olayemi,E. F. Awagu,O. M. Bamshaiye",Advance Journal of Food Science and Technology,"Aqueous,extracts,flavonoids,methanolic,nutrition,saponins",Maxwell Science Pubilication
19,000CF26N7VHU9IJE,Tumor-specific expression of αvβ3 integrin promotes spontaneous metastasis of breast cancer to bone,"<sec><title>Introduction</title><p>Studies in xenograft models and experimental models of metastasis have implicated several β3 integrin-expressing cell populations, including endothelium, platelets and osteoclasts, in breast tumor progression. Since orthotopic human xenograft models of breast cancer are poorly metastatic to bone and experimental models bypass the formation of a primary tumor, however, the precise contribution of tumor-specific αvβ3 to the spontaneous metastasis of breast tumors from the mammary gland to bone remains unclear.</p></sec><sec sec-type=""methods""><title>Methods</title><p>We used a syngeneic orthotopic model of spontaneous breast cancer metastasis to test whether exogenous expression of αvβ3 in a mammary carcinoma line (66cl4) that metastasizes to the lung, but not to bone, was sufficient to promote its spontaneous metastasis to bone from the mammary gland. The tumor burden in the spine and the lung following inoculation of αvβ3-expressing 66cl4 (66cl4beta3) tumor cells or control 66cl4pBabe into the mammary gland was analyzed by real-time quantitative PCR. The ability of these cells to grow and form osteolytic lesions in bone was determined by histology and tartrate-resistant acid phosphatase staining of bone sections following intratibial injection of tumor cells. The adhesive, migratory and invasive properties of 66cl4pBabe and 66cl4beta3 cells were evaluated in standard <italic>in vitro </italic>assays.</p></sec><sec><title>Results</title><p>The 66cl4beta3 tumors showed a 20-fold increase in metastatic burden in the spine compared with 66cl4pBabe. A similar trend in lung metastasis was observed. αvβ3 did not increase the proliferation of 66cl4 cells <italic>in vitro </italic>or in the mammary gland <italic>in vivo</italic>. Similarly, αvβ3 is not required for the proliferation of 66cl4 cells in bone as both 66cl4pBabe and 66cl4beta3 proliferated to the same extent when injected directly into the tibia. 66cl4beta3 tumor growth in the tibia, however, increased osteoclast recruitment and bone resorption compared with 66cl4 tumors. Moreover, αvβ3 increased 66cl4 tumor cell adhesion and αvβ3-dependent haptotactic migration towards bone matrix proteins, as well as their chemotactic response to bone-derived soluble factors <italic>in vitro</italic>.</p></sec><sec><title>Conclusion</title><p>These results demonstrate for the first time that tumor-specific αvβ3 contributes to spontaneous metastasis of breast tumors to bone and suggest a critical role for this receptor in mediating chemotactic and haptotactic migration towards bone factors.</p></sec>",http://www.ncbi.nlm.nih.gov/pmc/articles/pmc1557720/,10.1186/bcr1398,[],2006,R20-R20,1,,"Erica K. Sloan,Normand Pouliot,Kym L. Stanley,Jenny Chia,Jane M. Moseley,Daphne K. Hards,Robin L. Anderson",Breast Cancer Research,,Springer Science + Business Media
20,000DG9CU24MUTTGS,"Canopy Stomatal Conductance Following Drought, Disturbance, and Death in an Upland Oak/Pine Forest of the New Jersey Pine Barrens, USA","<p>Stomatal conductance controls carbon and water fluxes in forest ecosystems. Therefore, its accurate characterization in land-surface flux models is necessary. Sap-flux scaled canopy conductance was used to evaluate the effect of drought, disturbance, and mortality of three oak species (<italic>Quercus prinus</italic>, <italic>Q. velutina</italic>, and <italic>Q. coccinea</italic>) in an upland oak/pine stand in the New Jersey Pine Barrens from 2005 to 2008. Canopy conductance (<italic>G</italic><sub>C</sub>) was analyzed by performing boundary line analysis and selecting for the highest value under a given light condition. Regressing <italic>G</italic><sub>C</sub> with the driving force vapor pressure deficit (VPD) resulted in reference canopy conductance at 1 kPa VPD (<italic>G</italic><sub>Cref</sub>). Predictably, drought in 2006 caused <italic>G</italic><sub>Cref</sub> to decline. <italic>Q. prinus</italic> <italic>G</italic><sub>Cref</sub> was least affected, followed by <italic>Q. coccinea</italic>, with <italic>Q. velutina</italic> having the highest reductions in <italic>G</italic><sub>Cref</sub>. A defoliation event in 2007 caused <italic>G</italic><sub>Cref</sub> to increase due to reduced leaf area and a possible increase in water availability. In <italic>Q. prinus</italic>, <italic>G</italic><sub>Cref</sub> quadrupled, while doubling in <italic>Q. velutina</italic>, and increasing by 50% in <italic>Q. coccinea</italic>. Tree mortality in 2008 led to higher <italic>G</italic><sub>Cref</sub> in the remaining <italic>Q. prinus</italic> but not in <italic>Q. velutina</italic> or <italic>Q. coccinea</italic>. Comparing light response curves of canopy conductance (<italic>G</italic><sub>Cref</sub>) and stomatal conductance (<italic>g</italic><sub>S</sub>) derived from gas-exchange measurements showed marked differences in behavior. Canopy <italic>G</italic><sub>Cref</sub> failed to saturate under ambient light conditions whereas leaf-level <italic>g</italic><sub>S</sub> saturated at 1,200 μmol m<sup>−2</sup> s<sup>−1</sup>. The results presented here emphasize the differential responses of leaf and canopy-level conductance to saturating light conditions and the effects of various disturbances (drought, defoliation, and mortality) on the carbon and water balance of an oak-dominated forest.</p>",http://www.ncbi.nlm.nih.gov/pmc/articles/pmc3355680/,10.3389/fpls.2011.00015,english,2011,293–-301,1,,Karina Vera Rosa Schfer,Frontiers in Plant Science,"New Jersey Pine Barrens,defoliation,light,sap-flux,vapor pressure deficit",Frontiers Research Foundation
